Thorlabs Beam
Version: 9.1.5787.560
Date d/MM/yyyy	29/11/2024
Time h:mm:ss AP	11:48:54 AM

Device: 	BC106N-VIS
S/N: 	M00452329

Device	BC106N-VIS
Serial Number	M00452329

Attenuation	[dB]	0
Exposure Time	[ms]	2.509
Gain		1

Wavelength	[nm]	635

Measurement	Time [hh:mm:ss:zzz]	BeamWidth4SigmaX2[µm]	BeamWidth4SigmaY2[µm]	AzimuthAngle4Sigma[°]	Ellipticity4Sigma[%]	PeakPositionX[µm]	PeakPositionY[µm]	CentroidPositionX[µm]	CentroidPositionY[µm]	ImageSat[%]	TotalPower[dBm]	Ellipticity[%]	EllipseDiameterMin[µm]	EllipseDiameterMax[µm]	Orientation[deg]	
721	12:00:54.714	1654.66	1769.68	-33.77	93.50	-2086.57	222.52	-2338.63	448.95	51.23	-44.50	--	--	--	0.00	
722	12:00:55.714	1653.76	1764.60	-29.69	93.72	-2505.82	790.12	-2346.57	453.74	52.42	-44.52	--	--	--	0.00	
723	12:00:56.732	1650.92	1759.27	-25.61	93.84	-2505.82	790.12	-2351.81	457.98	54.79	-44.53	--	--	--	0.00	
724	12:00:57.713	1650.70	1760.49	-26.44	93.76	-2492.92	738.52	-2351.76	457.42	55.19	-44.53	--	--	--	0.00	
725	12:00:58.711	1649.57	1756.36	-24.69	93.92	-2505.82	790.12	-2353.89	459.78	55.98	-44.53	--	--	--	0.00	
726	12:00:59.709	1644.34	1749.23	-20.65	94.00	-2492.92	738.52	-2357.38	463.74	57.17	-44.53	74.89	628.49	839.26	55.92	
727	12:01:00.734	1644.36	1751.94	-21.63	93.86	-2492.92	738.52	-2354.40	462.74	56.78	-44.54	85.54	640.83	749.18	62.61	
728	12:01:01.724	1643.27	1748.99	-19.28	93.96	-2492.92	738.52	-2357.72	463.94	58.76	-44.53	68.02	621.16	913.23	55.33	
729	12:01:02.731	1632.16	1740.56	-13.74	93.77	-2492.92	738.52	-2360.41	468.02	60.74	-44.53	59.40	611.62	1029.65	55.15	
730	12:01:03.723	1641.45	1746.61	-18.26	93.98	-2492.92	738.52	-2357.70	464.88	57.57	-44.54	65.56	618.61	943.57	54.98	
731	12:01:04.730	1642.55	1748.74	-19.47	93.93	-2492.92	738.52	-2358.10	463.85	57.57	-44.53	68.46	620.51	906.33	55.50	
732	12:01:05.736	1644.90	1750.18	-21.05	93.98	-2473.57	796.57	-2357.19	462.68	57.17	-44.53	76.70	628.05	818.86	56.34	
733	12:01:06.726	1644.32	1751.39	-21.06	93.89	-2492.92	738.52	-2356.68	462.82	57.17	-44.54	78.57	631.75	804.05	56.82	
734	12:01:07.734	1644.20	1749.88	-20.52	93.96	-2492.92	738.52	-2357.57	462.97	56.78	-44.53	70.49	622.36	882.94	55.24	
735	12:01:08.726	1646.99	1754.22	-22.95	93.89	-2492.92	738.52	-2355.43	460.89	56.78	-44.53	--	--	--	0.00	
736	12:01:09.735	1643.68	1749.25	-20.18	93.96	-2505.82	790.12	-2357.29	463.07	57.17	-44.54	74.43	625.74	840.69	54.76	
737	12:01:10.754	1643.20	1747.97	-19.76	94.01	-2492.92	738.52	-2358.69	464.10	57.17	-44.53	68.86	622.24	903.67	55.55	
738	12:01:11.730	1641.94	1748.41	-18.82	93.91	-2492.92	738.52	-2358.51	464.71	58.36	-44.53	68.25	619.43	907.59	55.15	
739	12:01:12.723	1631.18	1737.74	-12.41	93.87	-2486.47	667.57	-2363.93	469.09	60.74	-44.53	56.94	610.21	1071.73	54.77	
740	12:01:13.727	1629.80	1737.47	-12.51	93.80	-2518.72	661.12	-2363.88	468.66	60.74	-44.53	58.70	612.99	1044.27	54.79	
741	12:01:14.733	1627.85	1736.47	-11.19	93.74	-2492.92	738.52	-2364.55	470.28	60.74	-44.53	56.28	612.45	1088.21	54.81	
742	12:01:15.724	1644.31	1750.66	-21.49	93.93	-2492.92	744.97	-2357.03	462.79	56.78	-44.53	80.30	633.87	789.41	57.65	
743	12:01:16.733	1643.33	1748.61	-20.52	93.98	-2505.82	790.12	-2358.41	463.65	57.17	-44.53	70.64	625.74	885.81	55.42	
744	12:01:17.728	1645.26	1752.26	-22.08	93.89	-2486.47	738.52	-2357.06	462.28	55.98	-44.53	86.49	651.87	753.71	61.55	
745	12:01:18.722	1643.77	1749.10	-20.65	93.98	-2492.92	738.52	-2358.48	463.85	57.17	-44.53	70.66	622.49	880.97	56.19	
746	12:01:19.742	1638.05	1744.03	-17.47	93.92	-2492.92	738.52	-2360.68	466.42	59.16	-44.53	65.52	620.61	947.27	55.20	
747	12:01:20.745	1643.22	1748.42	-20.21	93.98	-2492.92	738.52	-2358.11	463.70	57.97	-44.53	69.98	621.41	888.00	55.97	
748	12:01:21.748	1649.92	1759.53	-26.79	93.77	-2505.82	790.12	-2351.80	458.31	54.79	-44.53	--	--	--	0.00	
749	12:01:22.744	1637.08	1742.79	-16.58	93.93	-2492.92	738.52	-2360.70	467.25	59.95	-44.53	64.99	615.08	946.47	56.20	
750	12:01:23.737	1638.35	1743.23	-17.09	93.98	-2492.92	738.52	-2361.65	466.55	58.36	-44.53	64.83	619.35	955.35	56.07	
751	12:01:24.744	1647.21	1756.25	-23.63	93.79	-2505.82	790.12	-2353.65	461.69	55.98	-44.53	--	--	--	0.00	
752	12:01:25.747	1650.21	1758.88	-25.80	93.82	-2505.82	790.12	-2352.87	459.48	55.59	-44.53	--	--	--	0.00	
753	12:01:26.744	1627.10	1735.29	-11.14	93.77	-2492.92	738.52	-2364.91	470.09	60.74	-44.53	56.24	613.80	1091.39	54.94	
754	12:01:27.748	1643.69	1749.63	-20.73	93.94	-2492.92	738.52	-2357.09	463.30	57.17	-44.54	76.20	629.12	825.66	57.11	
755	12:01:28.742	1619.09	1730.99	-7.48	93.54	-2492.92	738.52	-2367.00	472.32	63.12	-44.52	54.32	610.42	1123.64	55.18	
756	12:01:29.748	1620.47	1732.83	-8.10	93.52	-2486.47	667.57	-2365.50	472.72	61.93	-44.52	54.07	614.39	1136.24	54.83	
757	12:01:30.738	1648.24	1755.44	-24.78	93.89	-2505.82	790.12	-2353.69	460.67	55.59	-44.53	--	--	--	0.00	
758	12:01:31.746	1617.19	1730.53	-6.61	93.45	-2531.62	615.97	-2366.95	472.88	63.12	-44.52	53.88	612.20	1136.15	55.18	
759	12:01:32.738	1642.16	1748.38	-19.53	93.92	-2492.92	738.52	-2358.78	464.91	57.17	-44.53	69.65	623.07	894.52	55.41	
760	12:01:33.742	1625.83	1734.96	-10.67	93.71	-2492.92	738.52	-2365.00	470.15	60.74	-44.53	55.50	613.42	1105.29	54.84	
761	12:01:34.735	1609.51	1726.87	-4.37	93.20	-2447.77	693.37	-2368.83	474.43	64.31	-44.52	52.14	613.00	1175.62	54.73	
762	12:01:35.741	1627.20	1736.11	-10.89	93.73	-2492.92	738.52	-2364.56	470.19	61.93	-44.53	56.04	612.73	1093.42	54.75	
763	12:01:36.738	1620.63	1732.95	-8.09	93.52	-2512.27	628.87	-2366.47	471.98	62.33	-44.53	55.28	610.54	1104.38	55.29	
764	12:01:37.738	1642.88	1749.51	-20.85	93.91	-2492.92	738.52	-2356.62	464.23	57.57	-44.54	76.31	629.99	825.62	55.24	
765	12:01:38.745	1644.36	1750.99	-20.62	93.91	-2492.92	738.52	-2357.31	463.04	57.17	-44.53	76.13	627.49	824.21	56.21	
766	12:01:39.739	1632.36	1740.54	-13.73	93.78	-2512.27	628.87	-2361.61	468.00	59.95	-44.54	59.69	612.11	1025.47	54.85	
767	12:01:40.743	1641.80	1748.20	-19.32	93.91	-2492.92	738.52	-2356.69	463.61	57.97	-44.54	71.88	627.73	873.28	56.55	
768	12:01:41.747	1638.21	1744.63	-16.86	93.90	-2492.92	738.52	-2360.21	466.31	58.36	-44.54	64.43	620.14	962.56	55.41	
769	12:01:42.740	1648.23	1763.11	-25.33	93.48	-2505.82	790.12	-2352.12	460.98	54.79	-44.52	--	--	--	0.00	
770	12:01:43.735	1640.96	1748.45	-18.27	93.85	-2492.92	738.52	-2357.31	464.09	58.36	-44.53	68.11	623.20	914.96	54.52	
771	12:01:44.739	1640.37	1747.10	-18.91	93.89	-2492.92	738.52	-2357.99	464.82	57.57	-44.54	66.23	619.10	934.75	55.76	
772	12:01:45.746	1640.97	1747.63	-18.90	93.90	-2492.92	738.52	-2357.98	464.63	58.36	-44.54	67.11	619.68	923.45	55.03	
773	12:01:46.738	1650.05	1765.45	-25.59	93.46	-2505.82	790.12	-2348.19	461.15	54.79	-44.52	--	--	--	0.00	
774	12:01:47.746	1650.75	1759.42	-26.40	93.82	-2492.92	738.52	-2351.11	458.73	54.79	-44.53	--	--	--	0.00	
775	12:01:48.738	1639.82	1747.39	-18.32	93.84	-2492.92	738.52	-2358.75	465.29	58.36	-44.54	66.43	619.40	932.43	55.29	
776	12:01:49.747	1645.96	1753.41	-22.56	93.87	-2505.82	790.12	-2355.12	461.52	55.98	-44.53	86.64	645.92	745.52	62.17	
777	12:01:50.770	1638.96	1745.65	-17.32	93.89	-2492.92	738.52	-2359.74	465.31	57.97	-44.54	64.52	619.38	959.92	55.01	
778	12:01:51.747	1643.09	1750.42	-20.05	93.87	-2492.92	738.52	-2356.48	463.35	57.97	-44.54	73.71	623.56	845.91	56.46	
779	12:01:52.738	1652.08	1766.74	-29.87	93.51	-2505.82	796.57	-2347.52	455.13	52.42	-44.51	--	--	--	0.00	
780	12:01:53.741	1646.23	1754.82	-22.80	93.81	-2505.82	790.12	-2354.46	460.43	56.38	-44.54	--	--	--	0.00	
781	12:01:54.745	1640.80	1748.28	-18.90	93.85	-2492.92	738.52	-2357.68	465.22	57.57	-44.53	66.71	617.73	925.98	56.35	
782	12:01:55.739	1643.28	1750.93	-20.59	93.85	-2492.92	738.52	-2354.37	465.34	58.36	-44.53	74.10	624.82	843.18	56.98	
783	12:01:56.742	1643.26	1750.03	-20.16	93.90	-2492.92	738.52	-2356.69	463.14	57.57	-44.54	74.04	629.40	850.12	55.59	
784	12:01:57.732	1644.75	1751.81	-22.13	93.89	-2492.92	738.52	-2355.04	461.64	56.78	-44.54	87.06	646.72	742.85	63.27	
785	12:01:58.738	1638.10	1744.54	-16.95	93.90	-2492.92	738.52	-2359.84	465.87	58.76	-44.54	63.96	618.42	966.87	55.52	
786	12:01:59.745	1633.77	1741.24	-14.75	93.83	-2492.92	738.52	-2361.29	467.45	60.35	-44.54	62.24	613.69	985.96	55.72	
787	12:02:00.746	1639.92	1746.49	-18.14	93.90	-2492.92	738.52	-2359.21	465.25	57.97	-44.54	66.01	618.09	936.38	55.09	
788	12:02:01.736	1632.58	1739.62	-14.14	93.85	-2492.92	738.52	-2362.27	467.57	60.35	-44.54	61.50	613.05	996.76	55.58	
789	12:02:02.744	1633.97	1741.28	-14.91	93.84	-2492.92	738.52	-2360.45	467.25	59.16	-44.54	61.47	620.25	1009.08	55.37	
790	12:02:03.735	1639.36	1747.93	-18.06	93.79	-2492.92	738.52	-2356.69	465.20	59.16	-44.54	66.91	622.13	929.80	55.37	
791	12:02:04.741	1634.88	1742.99	-14.72	93.80	-2492.92	738.52	-2360.50	467.59	59.16	-44.54	61.19	617.39	1008.97	55.51	
792	12:02:05.733	1652.09	1769.63	-35.96	93.36	-1964.02	403.12	-2337.44	443.42	52.81	-44.50	--	--	--	0.00	
793	12:02:06.744	1646.01	1760.60	-23.53	93.49	-2505.82	790.12	-2351.35	460.91	55.19	-44.53	--	--	--	0.00	
794	12:02:07.777	1634.59	1742.23	-14.98	93.82	-2492.92	738.52	-2361.10	466.84	59.55	-44.53	62.40	613.64	983.34	55.67	
795	12:02:08.736	1644.44	1751.26	-20.72	93.90	-2492.92	738.52	-2357.13	463.32	57.17	-44.54	84.97	641.63	755.10	61.38	
796	12:02:09.744	1637.24	1744.31	-16.17	93.86	-2492.92	738.52	-2359.52	466.66	59.16	-44.54	62.78	618.82	985.74	55.19	
797	12:02:10.751	1635.45	1742.66	-15.19	93.85	-2492.92	738.52	-2360.67	467.03	58.76	-44.54	61.57	617.85	1003.49	55.17	
798	12:02:11.734	1639.43	1747.18	-17.70	93.83	-2486.47	738.52	-2358.12	465.01	58.36	-44.54	65.06	619.61	952.32	55.33	
799	12:02:12.743	1648.57	1763.87	-27.38	93.46	-2505.82	796.57	-2347.95	456.00	54.00	-44.53	--	--	--	0.00	
800	12:02:13.747	1640.26	1748.09	-17.68	93.83	-2492.92	738.52	-2357.25	464.74	58.36	-44.54	68.02	622.92	915.84	55.06	
801	12:02:14.744	1643.21	1750.01	-19.83	93.90	-2447.77	757.87	-2355.86	464.24	57.17	-44.54	73.56	626.90	852.25	55.63	
802	12:02:15.734	1641.42	1748.31	-18.61	93.89	-2492.92	738.52	-2357.63	464.76	57.97	-44.54	66.57	620.47	932.12	55.41	
803	12:02:16.743	1637.78	1745.79	-16.85	93.81	-2447.77	757.87	-2359.15	466.35	59.16	-44.54	63.76	618.50	969.99	55.35	
804	12:02:17.737	1625.32	1734.97	-10.24	93.68	-2447.77	757.87	-2364.49	470.29	61.14	-44.53	55.57	613.52	1104.05	54.78	
805	12:02:18.733	1625.44	1735.35	-10.01	93.67	-2499.37	654.67	-2363.99	470.24	61.14	-44.53	55.70	615.95	1105.88	54.72	
806	12:02:19.767	1645.08	1753.32	-21.44	93.83	-2492.92	738.52	-2355.49	462.29	56.78	-44.54	86.88	637.88	734.18	64.05	
807	12:02:20.738	1639.20	1745.97	-17.28	93.89	-2499.37	680.47	-2358.19	465.21	58.36	-44.54	63.84	618.35	968.66	55.20	
808	12:02:21.732	1642.08	1749.20	-19.60	93.88	-2486.47	738.52	-2356.91	463.94	56.78	-44.54	73.01	628.11	860.25	56.44	
809	12:02:22.739	1644.79	1751.77	-21.09	93.89	-2492.92	738.52	-2355.87	462.93	57.17	-44.54	86.14	644.65	748.41	61.41	
810	12:02:23.748	1631.85	1740.40	-13.38	93.76	-2447.77	757.87	-2361.98	468.29	59.16	-44.54	58.53	617.51	1054.98	54.23	
811	12:02:24.759	1647.55	1757.60	-23.85	93.74	-2492.92	738.52	-2352.07	458.07	55.59	-44.53	--	--	--	0.00	
812	12:02:25.760	1639.19	1746.43	-17.36	93.86	-2492.92	738.52	-2356.97	465.52	58.76	-44.53	66.43	622.40	936.89	55.24	
813	12:02:26.772	1637.33	1744.67	-16.53	93.85	-2492.92	738.52	-2359.19	466.47	59.16	-44.54	62.87	615.76	979.40	55.41	
814	12:02:27.794	1645.18	1752.45	-20.80	93.88	-2492.92	738.52	-2356.38	462.62	56.78	-44.54	75.68	626.85	828.27	55.93	
815	12:02:28.785	1631.56	1740.23	-12.98	93.76	-2447.77	796.57	-2362.47	468.53	59.95	-44.53	59.25	613.16	1034.82	54.81	
816	12:02:29.789	1642.25	1749.60	-19.59	93.86	-2492.92	738.52	-2356.27	464.68	57.97	-44.54	72.22	625.33	865.89	55.82	
817	12:02:30.783	1641.80	1749.49	-19.52	93.84	-2492.92	738.52	-2355.98	463.62	57.97	-44.54	71.44	625.60	875.66	55.40	
818	12:02:31.788	1649.79	1765.57	-27.20	93.44	-2505.82	796.57	-2344.89	456.76	53.21	-44.53	--	--	--	0.00	
819	12:02:32.778	1650.84	1768.49	-29.18	93.35	-2512.27	796.57	-2345.86	456.04	52.42	-44.52	--	--	--	0.00	
820	12:02:33.802	1649.86	1765.73	-29.31	93.44	-2505.82	790.12	-2347.07	453.62	52.81	-44.53	--	--	--	0.00	
821	12:02:34.790	1644.81	1753.37	-21.06	93.81	-2492.92	738.52	-2352.64	463.07	57.97	-44.54	74.54	626.14	840.02	55.35	
822	12:02:35.781	1649.36	1759.22	-25.45	93.76	-2486.47	738.52	-2350.57	458.39	54.79	-44.54	--	--	--	0.00	
823	12:02:36.786	1649.88	1759.18	-25.08	93.79	-2505.82	790.12	-2351.26	458.66	54.40	-44.53	--	--	--	0.00	
824	12:02:37.776	1639.09	1745.98	-17.37	93.88	-2486.47	738.52	-2358.58	466.29	57.97	-44.54	64.69	619.17	957.07	55.58	
825	12:02:38.778	1639.10	1718.84	-39.25	95.36	-2105.92	312.82	-2313.03	428.79	68.28	-44.36	80.59	680.28	844.11	57.18	
826	12:02:39.784	1654.00	1770.98	-35.17	93.39	-2086.57	222.52	-2334.74	443.59	52.42	-44.50	--	--	--	0.00	
827	12:02:40.781	1654.04	1768.85	-32.11	93.51	-2505.82	790.12	-2342.19	450.50	51.23	-44.52	--	--	--	0.00	
828	12:02:41.785	1652.53	1764.11	-37.75	93.68	-1957.57	403.12	-2328.46	440.92	58.76	-44.46	--	--	--	0.00	
829	12:02:42.782	1651.82	1761.99	-27.50	93.75	-2505.82	796.57	-2350.30	456.50	52.81	-44.54	--	--	--	0.00	
830	12:02:43.787	1635.03	1742.41	-14.97	93.84	-2492.92	738.52	-2360.45	467.53	59.16	-44.54	61.50	617.94	1004.71	55.33	
831	12:02:44.781	1627.48	1738.07	-11.33	93.64	-2447.77	757.87	-2361.92	470.14	59.95	-44.54	57.67	614.94	1066.23	54.76	
832	12:02:45.788	1629.91	1739.36	-12.32	93.71	-2492.92	738.52	-2362.53	469.50	60.74	-44.54	58.85	613.66	1042.70	54.75	
833	12:02:46.779	1642.16	1749.12	-19.55	93.88	-2492.92	738.52	-2357.65	464.06	57.57	-44.54	68.56	620.20	904.62	55.26	
834	12:02:47.785	1644.34	1752.18	-20.95	93.85	-2486.47	738.52	-2355.96	462.25	57.17	-44.54	76.24	627.70	823.30	56.03	
835	12:02:48.775	1629.03	1738.15	-11.84	93.72	-2492.92	738.52	-2363.57	469.13	60.74	-44.54	58.21	614.70	1056.00	54.63	
836	12:02:49.782	1636.18	1742.82	-15.79	93.88	-2492.92	738.52	-2360.33	466.87	59.16	-44.54	62.17	617.64	993.39	54.95	
837	12:02:50.785	1641.85	1748.69	-19.40	93.89	-2492.92	738.52	-2357.93	464.24	57.97	-44.54	67.87	618.95	912.00	55.63	
838	12:02:51.774	1644.33	1752.28	-21.15	93.84	-2492.92	738.52	-2355.69	462.19	57.57	-44.54	76.98	628.20	816.08	56.64	
839	12:02:52.783	1649.40	1759.08	-25.16	93.77	-2505.82	790.12	-2351.07	457.55	54.79	-44.54	--	--	--	0.00	
840	12:02:53.776	1651.56	1762.65	-27.05	93.70	-2505.82	790.12	-2349.10	456.63	54.79	-44.53	--	--	--	0.00	
841	12:02:54.783	1644.95	1752.89	-22.54	93.84	-2492.92	738.52	-2354.88	461.83	56.38	-44.54	87.58	640.01	730.74	64.98	
842	12:02:55.777	1644.75	1752.75	-21.51	93.84	-2492.92	738.52	-2355.27	462.13	57.57	-44.54	79.46	632.54	796.09	57.40	
843	12:02:56.785	1644.81	1752.51	-21.87	93.85	-2492.92	738.52	-2355.03	462.12	56.38	-44.54	87.53	646.22	738.28	64.35	
844	12:02:57.775	1647.65	1756.63	-24.03	93.80	-2492.92	738.52	-2352.78	460.19	55.59	-44.54	--	--	--	0.00	
845	12:02:58.782	1647.82	1756.33	-23.54	93.82	-2492.92	738.52	-2353.13	459.94	55.98	-44.54	--	--	--	0.00	
846	12:02:59.786	1641.71	1749.49	-19.58	93.84	-2499.37	738.52	-2356.91	463.84	57.97	-44.54	72.75	625.96	860.38	56.22	
847	12:03:00.777	1643.72	1750.73	-20.91	93.89	-2499.37	738.52	-2356.83	462.90	57.17	-44.54	74.66	626.08	838.54	56.72	
848	12:03:01.782	1640.84	1747.08	-18.73	93.92	-2486.47	738.52	-2358.47	464.83	57.97	-44.54	66.94	621.96	929.12	55.37	
849	12:03:02.786	1647.03	1755.90	-23.04	93.80	-2499.37	796.57	-2353.42	460.99	55.19	-44.54	--	--	--	0.00	
850	12:03:03.775	1639.40	1746.27	-17.12	93.88	-2499.37	738.52	-2359.26	465.12	57.97	-44.54	64.22	619.75	965.01	55.17	
851	12:03:04.779	1645.46	1753.78	-22.29	93.82	-2499.37	738.52	-2354.49	461.52	56.38	-44.54	87.20	641.31	735.48	67.59	
852	12:03:05.775	1646.02	1756.30	-23.62	93.72	-2486.47	738.52	-2350.06	460.05	55.98	-44.54	--	--	--	0.00	
853	12:03:06.784	1644.47	1753.20	-21.21	93.80	-2447.77	757.87	-2355.10	463.14	56.38	-44.54	78.81	631.74	801.62	57.26	
854	12:03:07.786	1643.65	1751.16	-20.79	93.86	-2454.22	796.57	-2356.07	462.77	56.38	-44.54	76.39	627.66	821.70	56.00	
855	12:03:08.793	1644.51	1753.27	-21.68	93.80	-2492.92	738.52	-2353.63	462.09	56.78	-44.54	76.69	627.96	818.81	56.25	
856	12:03:09.782	1641.19	1752.01	-18.90	93.67	-2492.92	738.52	-2355.23	465.57	57.17	-44.54	72.79	626.32	860.47	56.37	
857	12:03:10.776	1634.03	1745.27	-15.34	93.63	-2492.92	738.52	-2356.59	468.93	59.16	-44.54	62.11	617.21	993.73	54.93	
858	12:03:11.806	1629.08	1737.93	-11.32	93.74	-2492.92	738.52	-2362.44	469.80	60.74	-44.54	57.93	614.46	1060.73	54.73	
859	12:03:12.781	1647.64	1755.54	-23.74	93.85	-2492.92	738.52	-2353.46	460.65	55.98	-44.54	--	--	--	0.00	
860	12:03:13.773	1631.61	1740.09	-13.15	93.77	-2492.92	738.52	-2362.30	469.05	59.55	-44.54	59.13	612.15	1035.18	55.05	
861	12:03:14.798	1641.65	1748.23	-19.02	93.90	-2492.92	738.52	-2357.46	464.17	57.97	-44.54	70.48	623.87	885.19	56.25	
862	12:03:15.787	1643.54	1751.68	-20.74	93.83	-2492.92	744.97	-2354.89	462.91	56.78	-44.54	74.72	625.94	837.69	56.89	
863	12:03:16.793	1648.62	1758.09	-24.66	93.77	-2499.37	738.52	-2350.80	460.47	54.79	-44.54	--	--	--	0.00	
864	12:03:17.798	1645.33	1753.98	-22.65	93.81	-2499.37	738.52	-2354.11	464.28	55.98	-44.54	88.30	653.02	739.57	62.75	
865	12:03:18.791	1653.53	1771.05	-34.34	93.36	-1957.57	403.12	-2337.06	446.58	51.23	-44.51	--	--	--	0.00	
866	12:03:19.806	1648.76	1755.94	-38.16	93.90	-2086.57	228.97	-2322.17	436.46	61.54	-44.44	--	--	--	0.00	
867	12:03:20.817	1652.73	1768.35	-30.06	93.46	-2512.27	796.57	-2342.52	451.74	52.02	-44.53	--	--	--	0.00	
868	12:03:21.808	1654.18	1770.90	-33.77	93.41	-1964.02	403.12	-2336.41	447.76	52.02	-44.50	--	--	--	0.00	
869	12:03:22.810	1652.32	1769.85	-30.60	93.36	-2505.82	796.57	-2338.99	451.79	51.62	-44.53	--	--	--	0.00	
870	12:03:23.829	1646.83	1754.51	-22.89	93.86	-2505.82	732.07	-2353.35	460.75	55.59	-44.54	--	--	--	0.00	
871	12:03:24.832	1648.96	1757.14	-24.46	93.84	-2538.07	712.72	-2353.26	459.75	54.79	-44.54	--	--	--	0.00	
872	12:03:25.820	1636.39	1743.54	-15.73	93.85	-2492.92	738.52	-2360.44	466.92	58.76	-44.54	62.29	618.03	992.24	55.12	
873	12:03:26.826	1643.90	1751.72	-20.44	93.84	-2492.92	738.52	-2356.50	463.41	57.17	-44.54	75.17	630.39	838.67	55.87	
874	12:03:27.821	1644.26	1751.44	-20.44	93.88	-2492.92	738.52	-2356.52	463.66	57.97	-44.54	76.16	629.41	826.42	55.49	
875	12:03:28.826	1643.88	1749.10	-19.87	93.98	-2492.92	738.52	-2357.46	464.50	57.57	-44.54	73.60	629.40	855.21	55.64	
876	12:03:29.832	1644.91	1753.68	-21.81	93.80	-2492.92	738.52	-2354.73	463.01	56.38	-44.54	88.03	644.20	731.81	62.36	
877	12:03:30.821	1602.71	1726.04	-1.70	92.85	-2447.77	693.37	-2368.55	476.63	65.10	-44.52	50.45	613.89	1216.79	54.87	
878	12:03:31.822	1639.26	1745.11	-16.60	93.93	-2492.92	738.52	-2359.13	465.78	58.76	-44.55	62.92	617.22	980.91	55.05	
879	12:03:32.825	1644.98	1751.19	-20.89	93.93	-2492.92	738.52	-2356.65	462.92	57.17	-44.55	78.44	631.01	804.45	56.67	
880	12:03:33.830	1633.25	1740.82	-13.55	93.82	-2492.92	738.52	-2361.68	468.20	59.55	-44.54	59.40	610.99	1028.55	54.99	
881	12:03:34.820	1640.29	1747.60	-18.33	93.86	-2492.92	738.52	-2358.55	464.83	58.36	-44.54	65.80	619.84	941.96	55.21	
882	12:03:35.829	1634.08	1742.33	-13.57	93.79	-2492.92	738.52	-2361.81	468.26	59.95	-44.54	59.53	610.13	1024.90	54.83	
883	12:03:36.821	1625.37	1735.02	-8.63	93.68	-2512.27	661.12	-2364.65	472.74	61.54	-44.54	54.74	613.83	1121.42	54.84	
884	12:03:37.859	1647.95	1754.64	-23.21	93.92	-2492.92	738.52	-2354.77	461.09	55.98	-44.54	--	--	--	0.00	
885	12:03:38.819	1634.63	1743.02	-14.30	93.78	-2499.37	667.57	-2361.31	468.11	58.76	-44.54	58.96	614.78	1042.70	54.78	
886	12:03:39.825	1649.74	1757.57	-24.15	93.86	-2505.82	757.87	-2352.73	460.73	55.59	-44.54	--	--	--	0.00	
887	12:03:40.847	1643.68	1750.92	-19.96	93.88	-2492.92	738.52	-2356.86	464.03	57.17	-44.55	74.49	624.13	837.92	55.83	
888	12:03:41.825	1645.96	1752.48	-21.39	93.92	-2505.82	790.12	-2355.82	463.18	56.78	-44.55	87.56	644.32	735.86	61.53	
889	12:03:42.818	1646.83	1756.04	-23.39	93.78	-2505.82	790.12	-2353.37	461.13	55.59	-44.54	--	--	--	0.00	
890	12:03:43.852	1648.44	1759.25	-24.34	93.70	-2499.37	738.52	-2350.69	458.31	55.19	-44.54	--	--	--	0.00	
891	12:03:44.817	1647.24	1756.92	-22.67	93.76	-2460.67	796.57	-2352.22	460.79	55.19	-44.54	--	--	--	0.00	
892	12:03:45.823	1651.97	1769.07	-36.95	93.38	-1964.02	396.67	-2332.42	442.37	55.19	-44.49	--	--	--	0.00	
893	12:03:46.828	1646.92	1756.56	-22.54	93.76	-2492.92	738.52	-2351.67	462.23	56.78	-44.54	87.83	639.47	728.04	66.92	
894	12:03:47.821	1649.25	1757.27	-23.84	93.85	-2492.92	738.52	-2353.71	460.98	55.98	-44.54	--	--	--	0.00	
895	12:03:48.828	1652.72	1769.76	-36.14	93.39	-2086.57	222.52	-2331.52	443.42	55.19	-44.49	--	--	--	0.00	
896	12:03:49.822	1651.10	1762.27	-27.41	93.69	-2512.27	796.57	-2348.66	458.45	53.21	-44.54	--	--	--	0.00	
897	12:03:50.829	1654.12	1767.93	-29.99	93.56	-2505.82	796.57	-2343.83	453.91	52.42	-44.53	--	--	--	0.00	
898	12:03:51.818	1652.66	1763.70	-27.97	93.70	-2505.82	796.57	-2347.55	457.01	53.21	-44.54	--	--	--	0.00	
899	12:03:52.828	1651.68	1762.77	-27.06	93.70	-2505.82	790.12	-2347.83	457.50	54.00	-44.54	--	--	--	0.00	
900	12:03:53.819	1647.37	1756.35	-22.61	93.80	-2492.92	738.52	-2352.20	462.33	56.38	-44.54	90.63	649.27	716.40	67.68	
901	12:03:54.827	1652.04	1765.02	-28.81	93.60	-2492.92	738.52	-2348.09	455.27	52.81	-44.53	--	--	--	0.00	
902	12:03:55.819	1646.06	1752.99	-21.09	93.90	-2492.92	738.52	-2354.63	463.38	57.17	-44.55	77.32	628.83	813.23	57.18	
903	12:03:56.821	1651.76	1761.45	-26.16	93.77	-2505.82	790.12	-2349.25	457.91	54.40	-44.54	--	--	--	0.00	
904	12:03:57.826	1646.08	1753.72	-21.76	93.86	-2492.92	738.52	-2355.00	462.34	56.78	-44.55	80.69	629.81	780.56	59.92	
905	12:03:58.817	1646.67	1754.58	-22.14	93.85	-2499.37	738.52	-2354.28	462.17	55.98	-44.54	80.13	639.63	798.20	56.98	
